제목,작가,평점,장르,관심(알림설정) 수
뷰티풀 군바리,설이 / 윤성원,9.81,"['드라마', '직업드라마', '밀리터리']","778,824"
신의 탑,SIU,9.88,"['판타지', '세계관', '이능력배틀물', '소년왕도물', '먼치킨']","1,966,241"
퀘스트지상주의,박태준 만화회사,9.76,"['드라마', '게임판타지', '학원물']","522,967"
똑 닮은 딸,이담,9.98,"['스릴러', '2020', '서스펜스']","447,641"
백수세끼,치즈,9.84,"['드라마', '음식', '감성드라마']","475,505"
윈드브레이커,조용석,9.83,"['스포츠', '스포츠성장']","1,144,805"
장씨세가 호위무사,김인호 / 조형근,9.93,"['무협', '사이다', '힘숨찐', '판무', '먼치킨', '소설원작']","304,511"
소녀의 세계,모랑지,9.92,"['드라마', '하이틴', '학원로맨스', '직진남', '삼각관계', '까칠남', '감성드라마']","1,125,780"
신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.91,"['판타지', '아포칼립스', '사이다', '게임판타지', '회귀', '헌터물', '소년왕도물', '먼치킨', '구원서사', '소설원작']","282,407"
별난식당,HO9,9.96,"['드라마', '지금추천작', '힐링', '직업드라마', '음식', '성장드라마']","97,814"
앵무살수,김성진,9.97,"['판타지', '판무']","222,179"
퍼니게임,배진수,9.58,['스릴러'],"84,616"
절대검감,김두루미 / 티아이 / 한중월야,9.94,"['무협', '환골탈태', '소설원작']","104,591"
호랑신랑뎐,고추참치,9.98,"['판타지', '무해한', '힐링', '연상연하', '동물']","164,890"
만렙돌파,"성불예정, 임형 / 미노",9.52,"['판타지', '고인물', '게임판타지', '먼치킨']","242,100"
꼬리잡기,바쉬,9.94,"['스릴러', '범죄', '서바이벌', '2020', '서스펜스', '두뇌싸움']","265,038"
물어보는 사이,성은,9.96,"['로맨스', '아이돌', '계약연애', '직진남', '인외존재', '연예계', '삼각관계', '뱀파이어']","386,170"
잔불의 기사,환댕,9.96,"['판타지', '세계관', '판무', '복수극']","208,351"
나 없는 단톡방,봉수,9.93,"['드라마', '요즘핫한추천작', '학원물']","105,395"
북부 공작님을 유혹하겠습니다,가천가 / 은하수 / 주시하,9.97,"['로맨스', '로판', '소설원작']","241,946"
순정말고 순종,슈안,9.96,"['로맨스', '로맨스코미디', '연예계', '삼각관계']","497,889"
리턴 투 플레이어,신성 / 세혼 / 인덱스,9.92,"['판타지', '아포칼립스', '게임판타지', '회귀', '소년왕도물', '먼치킨', '소설원작']","234,442"
히어로메이커,빤쓰,9.96,"['판타지', '히어로']","82,590"
루루라라 우리네 인생,현이씨,9.96,"['일상', '무해한']","30,000"
칼가는 소녀,오리,9.97,"['드라마', '최강자전', '2018', '성장드라마', '걸크러시', '감성드라마']","397,762"
